Product_detail_id,Product_Name,Product_Price,Product_Image_URL,Product_Category,rating
3094,"Barilla Pasta Maccheroni Durum Wheat, 500g, Italy",299,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51UjPuo5KSL._AC_UL320_.jpg,fresh pasta,3.5
3095,"Barilla Pasta Collezione Tricolor Mezze Penne Durum Wheat - 500g, Italy",359,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71q9sIhK9mL._AC_UL320_.jpg,fresh pasta,4.2
3096,"Barilla Pasta Penne Rigate Durum Wheat, 500 grams, Italy",299,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71BWKLht37S._AC_UL320_.jpg,fresh pasta,4.2
3097,"Barilla Pasta Fusilli Durum Wheat - 500g, Italy",299,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51LJbOXBN2L._AC_UL320_.jpg,fresh pasta,4.9
3098,"Amazon Brand - Solimo Whole Durum Wheat Fusilli Pasta, 500g",85,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71aYcP90WWL._AC_UL320_.jpg,fresh pasta,3.9
3099,"Barilla Pasta Farfalle Durum Wheat - 500 grams, Italy",299,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51JzCD4SGSL._AC_UL320_.jpg,fresh pasta,4.9
3100,"Del Monte Spirali Pasta (Imported from Italy), 100% Durum Wheat Semolina, 1kg",307,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/711OmxpbwWL._AC_UL320_.jpg,fresh pasta,4.0
3101,"Barilla Pasta Fettuccine Durum Wheat, 500 grams, Italy",539,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61TQ7XBp-bL._AC_UL320_.jpg,fresh pasta,4.7
3102,"Pink Harvest Farms Red Lentil Pasta | No Rice - No Maida | Vegan | Gluten Free | High Protein | (Red Lentil Fusilli Pasta, 200 g (Pack of 1))",279,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71MSv-ZxZYL._AC_UL320_.jpg,fresh pasta,4.0
3103,Weikfield Fusilli Pasta - 400 Gram | Healthy Pasta Made with 100% Durum Wheat Semolina - No Maida | Rich in Protein & Fibre | Vegetarian,150,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71iHVDrcJ2L._AC_UL320_.jpg,fresh pasta,3.1
3104,"Weikfield High Protein Penne Pasta, 400g / 500g (Weight may vary)",150,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81tiBGqz8YL._AC_UL320_.jpg,fresh pasta,3.7
3105,"Sunfeast YiPPee! Tricolor Instant Pasta, Creamy Corn, 65g",17,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81yrRnZXnqL._AC_UL320_.jpg,fresh pasta,3.1
3106,"DiSano Pastalicious 100% Durum Wheat Spaghitti Pasta, 500g",79,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/716AO4giFAL._AC_UL320_.jpg,fresh pasta,3.7
3107,Yu Foodlabs Pasta - Ready To Eat - 2 Three Cheese + 2 Peri Peri Combo - Instant Meal - Pack of 4 - No Preservatives & Additives - 100% Natural & Vegetarian - Instant Food in 4 mins - 800 GMS,357,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51mAwQUe4tL._AC_UL320_.jpg,fresh pasta,3.1
3108,MORTON Pasta Penne +Fusilli | Source of protein | 100% Vegetarian | Free from artificial colors & preservatives | Zero cholesterol - 450gm (Combo of 2),235,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71H06Y0yGbL._AC_UL320_.jpg,fresh pasta,4.2
3109,Chef's Basket - Durum Wheat Elbow Pasta | Vegetarian | Made With Durum Wheat Semolina | 500 gm,120,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81UgVMsaHhL._AC_UL320_.jpg,fresh pasta,3.4
3110,Borges Macaroni Pasta - 350 g | 100% Durum Wheat | High in Protein | Natural Ingredients | Maida Free,80,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71QaigapssL._AC_UL320_.jpg,fresh pasta,4.4
3111,Mille High Protein Penne Pasta | No Maida | 1.8X Plant Protein | 250Gms,200,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71r-QlZ1SlL._AC_UL320_.jpg,fresh pasta,5.0
